Module: Segment,Working Title,Video File,Caption File,Codio Link
2.7,The Plan-And-Document Perspective on Managing Teams,"https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Plan_Document_Managing_Teams_v01.mp4
",https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Plan_Document_Managing_Teams_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=a3cc90d9237600dac9a1521f94fdb00d&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
2.8,Fallacies and Pitfalls,,,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=72509db5f92d98af3c7c31fbd70fa98c&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
2.9,Concluding Remarks: From Solo Developer to Teams of Teams,,,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=2de864e8b03b6cc52c5fc8af8a270b90&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
Module 3 - Design Patterns for SaaS Apps,,,,
3.0,"Module Overview
",https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Overview_Mod11_v02.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Overview_Mod11_v02.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=b7a4e71f8407cdb89507c84c3738846b&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.1,"Patterns, Antipatterns, and SOLID Class Architecture",https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Patterns_Antipatterns_SOLID_Class_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Patterns_Antipatterns_SOLID_Class_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=dde588f51eaf0cde8b6716930d09e7fd&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.2,Just Enough UML,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Just_Enough_UML_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Just_Enough_UML_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=4c886bcfcf9d01872883817d205d8c01&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.3,Single Responsibility Principle,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Single_Responsibility_Principle_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Single_Responsibility_Principle_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=c02dc16488673ae8cdf7fabfe4ee4bd7&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.4,Open/Closed Principle,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Open_Closed_Principle_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Open_Closed_Principle_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=98b45fd2b09fc715fe101ede8dba619c&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.5,Liskov Substitution Principle,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Liskov_Substitution_Principle_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Liskov_Substitution_Principle_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=d3388ca49a6a4ab36398346bad350825&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.6,Injection of Dependencies Principle,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Injection_Dependencies_Principle_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Injection_Dependencies_Principle_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=46a44050bc46bebe7f0d423c1c2b97f3&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.7,Demeter Principle,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Demeter_Principle_v01.mp4,"https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Demeter_Principle_v01.srt
",https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=44f41b57e138caecc8ad3992cc859dc5&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.8,The Plan-and-Document Perspective on Design Patterns,"https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Plan_Document_Design_Patterns_v01.mp4
",https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Plan_Document_Design_Patterns_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=5225998aa862f83f17bc18c784834db4&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.9,Fallacies and Pitfalls,,,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=76d06e8462d07b8acd70587b67fee142&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
3.10,Concluding Remarks: Frameworks Capture Design Patterns,,,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=5af76df20f10a67abbabb15ef26c251a&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
Module 4 - Dev/Ops,,,,
4.0,"Module Overview
",https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Overview_Mod12_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Overview_Mod12_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=191c7abec6a4b52ed02cba545e5dc274&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.1,From Development to Deployment,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Development_Deployment_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Development_Deployment_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=7c0a1c1ac00fd9395fe552eeb21baa61&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.2,Three-Tier Architecture,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Three_Tier_Architecture_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Three_Tier_Architecture_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=b0f30b68e3b47ba04f9cf46daee4c7b8&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.3,"Responsiveness, Service Level Objectives, and Apdex",https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Responsiveness_Apdex_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Responsiveness_Apdex_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=b911444e2aaeb2c29cf5f272ab231b0d&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.4,Releases and Feature Flags,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Releases_Feature_Flags_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Releases_Feature_Flags_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=d8e94c4268da542988875bba6da17902&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.5,Monitoring and Finding Bottlenecks,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Monitoring_Finding_Bottlenecks_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Monitoring_Finding_Bottlenecks_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=9751727de681340ff78a86d26f4448c2&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.6,Improving Rendering and Database Performance With Caching,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Improving_Rendering_Database_Performance_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Improving_Rendering_Database_Performance_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=2370618c2a5e7f6b83ba27d2b41ae059&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.7,Avoiding Abusive Database Queries,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Avoiding_Abusive_Database_Queries_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Avoiding_Abusive_Database_Queries_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=669cb38b9674866db17f15ea063dbe79&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.8,CHIPS: Indices and Caching in SaaS Apps (hw-indices-performance),,,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=ec0e948235d70f49104482e6d9f4bea5&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.9,Security: Defending Customer Data in Your App,https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Security_v01.mp4,https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Security_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=9e753e687cafb19ad8a56d4ea02fc0e3&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.10,The Plan-And-Document Perspective on Operations,"https://summersessions.s3.amazonaws.com/CS_W169A/2020/videos/SUS20_Software_Engineering_Plan_Document_Operations_v01.mp4
",https://summersessions.s3.amazonaws.com/CS_W169A/2020/captions/SUS20_Software_Engineering_Plan_Document_Operations_v01.srt,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=1addbdbc735359d82ffc1bec2f86ba81&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
4.11,Fallacies and Pitfalls,,,https://codio.com/lti/?courseId=5e5407d1d36109780424cd1b&assignmentId=53077a169c51cb7d3b9dd0774d2d829f&role=student&lti=8ca9e2cf-cf86-4f50-966d-1df8e32a6630
